bgg_id,category
1,Strategy
2,Strategy
3,Strategy
5,Strategy
7,Abstract
9,Strategy
10,Family
11,Family
12,Strategy
13,"Strategy, Family"
14,"Strategy, Family"
15,"Thematic, Strategy"
16,Strategy
17,Card games
18,"Thematic, Strategy"
19,Family
20,Strategy
22,"Thematic, Strategy"
23,"Thematic, War"
24,Thematic
25,"Thematic, War"
26,Strategy
27,War
28,"Thematic, Strategy"
30,Thematic
31,Thematic
32,Abstract
34,Thematic
36,War
37,War
40,"Thematic, War"
41,Family
42,Strategy
43,Strategy
44,Family
45,"Family, Party"
46,Strategy
47,Strategy
48,Strategy
49,Family
50,Family
51,Abstract
52,War
54,Strategy
57,Strategy
58,"Thematic, War"
59,Strategy
60,Strategy
61,"Family, Abstract"
62,Thematic
63,War
64,"Strategy, War"
66,Strategy
67,War
68,War
69,Abstract
70,"Strategy, Family"
71,Strategy
72,Strategy
73,"Strategy, Family"
74,Party
75,Party
76,Strategy
77,War
78,War
79,War
82,War
83,War
84,War
85,War
87,War
88,"Strategy, Abstract"
89,War
90,Family
91,War
93,Strategy
94,Strategy
95,Family
96,Thematic
97,"Thematic, War"
98,War
99,"Thematic, War"
101,Family
102,"Strategy, Family"
103,"Thematic, War"
104,Strategy
105,"Strategy, Family"
106,"Strategy, Family"
108,Abstract
109,"Strategy, Family"
110,Family
111,Strategy
112,Strategy
115,"Strategy, Family"
116,Family
117,Abstract
118,Strategy
119,"Strategy, Abstract"
120,Family
121,"Thematic, Strategy"
122,Strategy
124,Strategy
125,Family
126,Party
127,War
128,"Family, Abstract"
130,Strategy
132,Strategy
133,Strategy
134,Family
135,Strategy
137,Party
139,"Strategy, Party"
140,"Family, Party"
141,"Strategy, Family"
142,Strategy
145,"Strategy, Family"
146,"Strategy, Family"
147,Strategy
150,"Family, Party"
152,Strategy
153,Family
154,Strategy
155,"Strategy, Family"
156,Family
157,Strategy
162,"Thematic, War"
163,Party
164,"Thematic, Family"
165,Abstract
167,Strategy
168,Strategy
169,Family
170,"Thematic, Family"
171,Abstract
172,Family
175,Family
176,"Thematic, Family"
178,Abstract
179,Abstract
180,Abstract
181,"War, Family"
182,Family
183,Abstract
185,Family
188,Abstract
189,"Strategy, Family"
190,Family
192,Family
193,Family
194,Thematic
196,"Thematic, Strategy"
198,Family
199,Family
200,"Strategy, Family"
201,Abstract
202,"Strategy, War"
204,Strategy
214,Family
215,Strategy
216,Abstract
217,Family
218,"Strategy, Family"
220,Family
